[2023-12-20 17:11:33,314][INFO] 
===== CNN_small-0.1-100-small-2023-12-20-17-11-33 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: CNN_small
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cb598daf0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a96df70>
[2023-12-20 17:11:35,555][INFO] --epoch 133 loss 0.0052535374998115
[2023-12-20 17:11:35,567][INFO] --epoch 134 loss 0.005240497994236648
[2023-12-20 17:11:35,579][INFO] --epoch 135 loss 0.004641995939891785
[2023-12-20 17:11:35,591][INFO] --epoch 136 loss 0.004403231723699719
[2023-12-20 17:11:35,603][INFO] --epoch 137 loss 0.003976583539042622
[2023-12-20 17:11:35,615][INFO] --epoch 138 loss 0.0038735068519599736
[2023-12-20 17:11:35,627][INFO] --epoch 139 loss 0.0037559535121545196
[2023-12-20 17:11:35,639][INFO] --epoch 140 loss 0.003749370400328189
[2023-12-20 17:11:35,651][INFO] --epoch 141 loss 0.0037344087613746524
[2023-12-20 17:11:35,663][INFO] --epoch 142 loss 0.0036052793730050325
[2023-12-20 17:11:35,676][INFO] --epoch 143 loss 0.0034460773458704352
[2023-12-20 17:11:35,688][INFO] --epoch 144 loss 0.003404522401979193
[2023-12-20 17:11:35,700][INFO] --epoch 145 loss 0.003407130076084286
[2023-12-20 17:11:35,712][INFO] --epoch 146 loss 0.0034434428671374917
[2023-12-20 17:11:35,725][INFO] --epoch 147 loss 0.0034363329759798944
[2023-12-20 17:11:35,737][INFO] --epoch 148 loss 0.0034373842645436525
[2023-12-20 17:11:35,749][INFO] --epoch 149 loss 0.003437169478274882
[2023-12-20 17:11:35,761][INFO] --epoch 150 loss 0.0034374522510915995
[2023-12-20 17:11:35,773][INFO] --epoch 151 loss 0.0034383985912427306
[2023-12-20 17:11:35,785][INFO] --epoch 152 loss 0.0034418452996760607
[2023-12-20 17:11:35,797][INFO] --epoch 153 loss 0.003439823631197214
[2023-12-20 17:11:35,810][INFO] --epoch 154 loss 0.0034336098469793797
[2023-12-20 17:11:35,822][INFO] --epoch 155 loss 0.0034812091034837067
[2023-12-20 17:11:35,834][INFO] --epoch 156 loss 0.0035196560784243047
[2023-12-20 17:11:35,847][INFO] --epoch 157 loss 0.0034859334700740874
[2023-12-20 17:11:35,859][INFO] --epoch 158 loss 0.003512865398079157
[2023-12-20 17:11:35,871][INFO] --epoch 159 loss 0.0035020228824578226
[2023-12-20 17:11:35,883][INFO] --epoch 160 loss 0.003414709004573524
[2023-12-20 17:11:35,895][INFO] --epoch 161 loss 0.0032887583365663886
[2023-12-20 17:11:35,907][INFO] --epoch 162 loss 0.003421237284783274
[2023-12-20 17:11:35,919][INFO] --epoch 163 loss 0.0036010469193570316
[2023-12-20 17:11:35,932][INFO] --epoch 164 loss 0.0038400469347834587
[2023-12-20 17:11:35,944][INFO] --epoch 165 loss 0.004235544067341834
[2023-12-20 17:11:35,956][INFO] --epoch 166 loss 0.004126717045437545
[2023-12-20 17:11:35,969][INFO] --epoch 167 loss 0.0041725076152943075
[2023-12-20 17:11:35,981][INFO] --epoch 168 loss 0.004334543540608138
[2023-12-20 17:11:35,993][INFO] --epoch 169 loss 0.0035223658778704703
[2023-12-20 17:11:36,005][INFO] --epoch 170 loss 0.00563854695064947
[2023-12-20 17:11:36,018][INFO] --epoch 171 loss 0.004311894765123725
[2023-12-20 17:11:36,030][INFO] --epoch 172 loss 0.004688639892265201
[2023-12-20 17:11:36,042][INFO] --epoch 173 loss 0.0038641358842141926
[2023-12-20 17:11:36,054][INFO] --epoch 174 loss 0.004935717559419572
[2023-12-20 17:11:36,066][INFO] --epoch 175 loss 0.005081144743598998
[2023-12-20 17:11:36,079][INFO] --epoch 176 loss 0.0044649894698522985
[2023-12-20 17:11:36,091][INFO] --epoch 177 loss 0.004547575023025274
[2023-12-20 17:11:36,103][INFO] --epoch 178 loss 0.0044062178349122405
[2023-12-20 17:11:36,115][INFO] --epoch 179 loss 0.005226444511208683
[2023-12-20 17:11:36,127][INFO] --epoch 180 loss 0.004802933835890144
[2023-12-20 17:11:36,140][INFO] --epoch 181 loss 0.004533653671387583
[2023-12-20 17:11:36,152][INFO] --epoch 182 loss 0.008196449605748057
[2023-12-20 17:11:36,164][INFO] --epoch 183 loss 0.004390747228171676
[2023-12-20 17:11:36,177][INFO] --epoch 184 loss 0.0032116029178723693
[2023-12-20 17:11:36,188][INFO] --epoch 185 loss 0.0029733856208622456
[2023-12-20 17:11:36,201][INFO] --epoch 186 loss 0.011663613026030362
[2023-12-20 17:11:36,213][INFO] --epoch 187 loss 0.008060857420787215
[2023-12-20 17:11:36,225][INFO] --epoch 188 loss 0.0051367132109589875
[2023-12-20 17:11:36,237][INFO] --epoch 189 loss 0.011744547518901527
[2023-12-20 17:11:36,250][INFO] --epoch 190 loss 0.006966333603486419
[2023-12-20 17:11:36,262][INFO] --epoch 191 loss 0.007649770122952759
[2023-12-20 17:11:36,275][INFO] --epoch 192 loss 0.005034405272454023
[2023-12-20 17:11:36,287][INFO] --epoch 193 loss 0.02839003875851631
[2023-12-20 17:11:36,298][INFO] --epoch 194 loss 0.007132004539016634
[2023-12-20 17:11:36,311][INFO] --epoch 195 loss 0.004135557450354099
[2023-12-20 17:11:36,322][INFO] --epoch 196 loss 0.009659643401391804
[2023-12-20 17:11:36,334][INFO] --epoch 197 loss 0.007099707145243883
[2023-12-20 17:11:36,346][INFO] --epoch 198 loss 0.005104403011500835
[2023-12-20 17:11:36,359][INFO] --epoch 199 loss 0.007570280460640788
[2023-12-20 17:11:36,359][INFO] --adv training finished
[2023-12-20 17:11:36,390][INFO] --evaluate the adv training net on testset
[2023-12-20 17:11:36,392][INFO] --For testset, out of 10000 items, ratio 0.9341
[2023-12-20 17:11:36,392][INFO] --test the defense against autoattack
[2023-12-20 17:11:40,455][INFO] correct1 22
[2023-12-20 17:11:44,977][INFO] correct2 31
[2023-12-20 17:11:49,453][INFO] correct3 1
[2023-12-20 17:11:53,583][INFO] correct1 17
[2023-12-20 17:11:58,103][INFO] correct2 31
[2023-12-20 17:12:02,438][INFO] correct3 1
[2023-12-20 17:12:06,557][INFO] correct1 21
[2023-12-20 17:12:11,014][INFO] correct2 32
[2023-12-20 17:12:15,410][INFO] correct3 3
[2023-12-20 17:12:19,684][INFO] correct1 13
[2023-12-20 17:12:24,102][INFO] correct2 31
[2023-12-20 17:12:28,462][INFO] correct3 1
[2023-12-20 17:12:32,586][INFO] correct1 20
[2023-12-20 17:12:37,016][INFO] correct2 32
[2023-12-20 17:12:41,344][INFO] correct3 1
[2023-12-20 17:12:45,497][INFO] correct1 21
[2023-12-20 17:12:50,048][INFO] correct2 32
[2023-12-20 17:12:54,392][INFO] correct3 3
[2023-12-20 17:12:58,469][INFO] correct1 19
[2023-12-20 17:13:02,979][INFO] correct2 31
[2023-12-20 17:13:07,394][INFO] correct3 2
[2023-12-20 17:13:11,568][INFO] correct1 14
[2023-12-20 17:13:15,999][INFO] correct2 31
[2023-12-20 17:13:20,375][INFO] correct3 1
[2023-12-20 17:13:24,467][INFO] correct1 20
[2023-12-20 17:13:28,906][INFO] correct2 32
[2023-12-20 17:13:33,292][INFO] correct3 1
[2023-12-20 17:13:37,409][INFO] correct1 22
[2023-12-20 17:13:41,967][INFO] correct2 32
[2023-12-20 17:13:46,316][INFO] correct3 2
[2023-12-20 17:13:50,507][INFO] correct1 17
[2023-12-20 17:13:51,906][INFO] correct2 30
[2023-12-20 17:13:52,250][INFO] correct3 0
[2023-12-20 17:13:56,424][INFO] correct1 16
[2023-12-20 17:14:00,874][INFO] correct2 32
[2023-12-20 17:14:05,221][INFO] correct3 3
[2023-12-20 17:14:09,419][INFO] correct1 19
[2023-12-20 17:14:13,933][INFO] correct2 32
[2023-12-20 17:14:18,328][INFO] correct3 2
[2023-12-20 17:14:22,502][INFO] correct1 17
[2023-12-20 17:14:27,049][INFO] correct2 31
[2023-12-20 17:14:31,464][INFO] correct3 1
[2023-12-20 17:14:35,604][INFO] correct1 16
[2023-12-20 17:14:40,053][INFO] correct2 32
[2023-12-20 17:14:44,392][INFO] correct3 1
[2023-12-20 17:14:48,671][INFO] correct1 15
[2023-12-20 17:14:53,135][INFO] correct2 32
[2023-12-20 17:14:57,427][INFO] correct3 2
[2023-12-20 17:15:01,621][INFO] correct1 15
[2023-12-20 17:15:06,085][INFO] correct2 32
[2023-12-20 17:15:10,364][INFO] correct3 4
[2023-12-20 17:15:14,511][INFO] correct1 16
[2023-12-20 17:15:15,903][INFO] correct2 31
[2023-12-20 17:15:17,211][INFO] correct3 0
[2023-12-20 17:15:21,319][INFO] correct1 16
[2023-12-20 17:15:25,714][INFO] correct2 31
[2023-12-20 17:15:30,123][INFO] correct3 1
[2023-12-20 17:15:34,376][INFO] correct1 17
[2023-12-20 17:15:38,749][INFO] correct2 31
[2023-12-20 17:15:43,047][INFO] correct3 2
[2023-12-20 17:15:47,288][INFO] correct1 15
[2023-12-20 17:15:51,696][INFO] correct2 31
[2023-12-20 17:15:56,026][INFO] correct3 1
[2023-12-20 17:16:00,086][INFO] correct1 16
[2023-12-20 17:16:04,440][INFO] correct2 31
[2023-12-20 17:16:08,655][INFO] correct3 1
[2023-12-20 17:16:12,877][INFO] correct1 15
[2023-12-20 17:16:13,768][INFO] correct2 32
[2023-12-20 17:16:14,079][INFO] correct3 0
[2023-12-20 17:16:18,173][INFO] correct1 18
[2023-12-20 17:16:21,932][INFO] correct2 31
[2023-12-20 17:16:26,577][INFO] correct3 2
[2023-12-20 17:16:31,395][INFO] correct1 21
[2023-12-20 17:16:36,618][INFO] correct2 32
[2023-12-20 17:16:41,756][INFO] correct3 3
[2023-12-20 17:16:46,639][INFO] correct1 19
[2023-12-20 17:16:51,899][INFO] correct2 32
[2023-12-20 17:16:56,942][INFO] correct3 2
[2023-12-20 17:17:01,738][INFO] correct1 16
[2023-12-20 17:17:02,205][INFO] correct2 31
[2023-12-20 17:17:02,571][INFO] correct3 0
[2023-12-20 17:17:07,453][INFO] correct1 21
[2023-12-20 17:17:12,683][INFO] correct2 30
[2023-12-20 17:17:17,807][INFO] correct3 2
[2023-12-20 17:17:22,639][INFO] correct1 18
[2023-12-20 17:17:27,859][INFO] correct2 32
[2023-12-20 17:17:32,885][INFO] correct3 2
[2023-12-20 17:17:37,764][INFO] correct1 12
[2023-12-20 17:17:42,852][INFO] correct2 30
[2023-12-20 17:17:47,833][INFO] correct3 1
[2023-12-20 17:17:52,518][INFO] correct1 23
[2023-12-20 17:17:57,633][INFO] correct2 31
[2023-12-20 17:18:02,715][INFO] correct3 4
[2023-12-20 17:18:07,522][INFO] correct1 14
[2023-12-20 17:18:12,659][INFO] correct2 31
[2023-12-20 17:18:17,706][INFO] correct3 3
[2023-12-20 17:18:22,523][INFO] correct1 16
[2023-12-20 17:18:27,741][INFO] correct2 31
[2023-12-20 17:18:32,780][INFO] correct3 3
[2023-12-20 17:18:37,593][INFO] correct1 20
[2023-12-20 17:18:42,812][INFO] correct2 32
[2023-12-20 17:18:47,888][INFO] correct3 1
[2023-12-20 17:18:52,816][INFO] correct1 15
[2023-12-20 17:18:58,061][INFO] correct2 31
[2023-12-20 17:19:03,105][INFO] correct3 2
[2023-12-20 17:19:07,936][INFO] correct1 14
[2023-12-20 17:19:12,278][INFO] correct2 32
[2023-12-20 17:19:16,622][INFO] correct3 1
[2023-12-20 17:19:20,699][INFO] correct1 15
[2023-12-20 17:19:25,206][INFO] correct2 31
[2023-12-20 17:19:29,581][INFO] correct3 2
[2023-12-20 17:19:33,643][INFO] correct1 18
[2023-12-20 17:19:38,206][INFO] correct2 31
[2023-12-20 17:19:42,520][INFO] correct3 3
[2023-12-20 17:19:46,672][INFO] correct1 15
[2023-12-20 17:19:47,111][INFO] correct2 28
[2023-12-20 17:19:47,967][INFO] correct3 0
[2023-12-20 17:19:52,151][INFO] correct1 10
[2023-12-20 17:19:56,579][INFO] correct2 30
[2023-12-20 17:20:01,003][INFO] correct3 1
[2023-12-20 17:20:05,257][INFO] correct1 14
[2023-12-20 17:20:06,162][INFO] correct2 32
[2023-12-20 17:20:06,915][INFO] correct3 0
[2023-12-20 17:20:11,041][INFO] correct1 13
[2023-12-20 17:20:15,327][INFO] correct2 30
[2023-12-20 17:20:19,581][INFO] correct3 4
[2023-12-20 17:20:23,576][INFO] correct1 20
[2023-12-20 17:20:27,933][INFO] correct2 31
[2023-12-20 17:20:32,260][INFO] correct3 1
[2023-12-20 17:20:36,373][INFO] correct1 15
[2023-12-20 17:20:40,753][INFO] correct2 31
[2023-12-20 17:20:45,077][INFO] correct3 3
[2023-12-20 17:20:49,136][INFO] correct1 15
[2023-12-20 17:20:53,656][INFO] correct2 31
[2023-12-20 17:20:58,018][INFO] correct3 2
[2023-12-20 17:21:02,166][INFO] correct1 14
[2023-12-20 17:21:06,569][INFO] correct2 30
[2023-12-20 17:21:10,973][INFO] correct3 1
[2023-12-20 17:21:14,956][INFO] correct1 20
[2023-12-20 17:21:19,280][INFO] correct2 32
[2023-12-20 17:21:23,675][INFO] correct3 3
[2023-12-20 17:21:27,758][INFO] correct1 17
[2023-12-20 17:21:32,119][INFO] correct2 30
[2023-12-20 17:21:36,407][INFO] correct3 2
[2023-12-20 17:21:40,577][INFO] correct1 15
[2023-12-20 17:21:40,988][INFO] correct2 31
[2023-12-20 17:21:41,304][INFO] correct3 0
[2023-12-20 17:21:45,388][INFO] correct1 15
[2023-12-20 17:21:49,937][INFO] correct2 32
[2023-12-20 17:21:54,135][INFO] correct3 4
[2023-12-20 17:21:58,230][INFO] correct1 17
[2023-12-20 17:22:02,618][INFO] correct2 32
[2023-12-20 17:22:06,818][INFO] correct3 1
[2023-12-20 17:22:10,833][INFO] correct1 16
[2023-12-20 17:22:11,229][INFO] correct2 32
[2023-12-20 17:22:12,938][INFO] correct3 0
[2023-12-20 17:22:17,099][INFO] correct1 13
[2023-12-20 17:22:21,502][INFO] correct2 30
[2023-12-20 17:22:25,719][INFO] correct3 1
[2023-12-20 17:22:29,826][INFO] correct1 17
[2023-12-20 17:22:34,166][INFO] correct2 31
[2023-12-20 17:22:38,388][INFO] correct3 1
[2023-12-20 17:22:42,566][INFO] correct1 15
[2023-12-20 17:22:42,996][INFO] correct2 31
[2023-12-20 17:22:43,356][INFO] correct3 0
[2023-12-20 17:22:47,462][INFO] correct1 15
[2023-12-20 17:22:47,863][INFO] correct2 31
[2023-12-20 17:22:48,173][INFO] correct3 0
[2023-12-20 17:22:52,293][INFO] correct1 16
[2023-12-20 17:22:56,834][INFO] correct2 32
[2023-12-20 17:23:01,152][INFO] correct3 2
[2023-12-20 17:23:05,229][INFO] correct1 15
[2023-12-20 17:23:09,569][INFO] correct2 32
[2023-12-20 17:23:13,892][INFO] correct3 1
[2023-12-20 17:23:18,030][INFO] correct1 18
[2023-12-20 17:23:22,311][INFO] correct2 31
[2023-12-20 17:23:26,622][INFO] correct3 1
[2023-12-20 17:23:30,717][INFO] correct1 15
[2023-12-20 17:23:35,009][INFO] correct2 31
[2023-12-20 17:23:39,370][INFO] correct3 4
[2023-12-20 17:23:43,642][INFO] correct1 18
[2023-12-20 17:23:47,973][INFO] correct2 31
[2023-12-20 17:23:52,190][INFO] correct3 1
[2023-12-20 17:23:56,439][INFO] correct1 13
